Key,English,French,Spanish
Hide_Label,Hide notifications,Cacher les notifications,Ocultar notificaciones
Hide_Off,You will be notified when you receive a notification.,Vous serez informé lorsque vous recevrez une notification.,Se le avisará cuando reciba una notificación.
Hide_On,Notification will still be availlable in the notification center but you won't be notified when you recieve them.,Les notifications seront toujours disponibles dans le centre de notification mais vous ne serez pas averti lorsque vous les recevrez.,Las notificaciones seguirán estando disponibles en el centro de notificaciones, pero no recibirás una notificación cuando las recibas.
